"Código","Item de Estoque","Descrição Grupo","Compõe Produto","Unidade","Fichas","Quantidade","Custo Médio","Subtotal/C.M."
"1203","TESOURA MEDIA","UTENSILIOS","false","UN","0","3,0000","19,9000","59,7000"
"1204","TIMER COZINHA","UTENSILIOS","false","UN","0","2,0000","14,9000","29,8000"
"1205","POTE PLASTICO","UTENSILIOS","false","UN","0","45,0000","20,1343","906,0435"
"1206","PORTA CONDIMENTOS","UTENSILIOS","false","UN","0","5,0000","9,9000","49,5000"
"1207","ESCOVA LIMPEZA DE CANTOS","UTENSILIOS","false","UN","0","2,0000","7,5000","15,0000"
"1208","ESCOVA DE LOUCA  EM ACO","UTENSILIOS","false","UN","0","0,0000","14,9000","0,0000"
"949","COPO NADIR FIGUEIREDO 270ML","UTENSILIOS","false","UN","0","10,0000","6,1500","61,5000"
"950","COPO AMERICANO LONG DRINK  450 ML N.FIG","UTENSILIOS","false","UN","0","24,0000","5,6700","136,0800"
"955","TABUA CORTE","UTENSILIOS","false","UN","0","2,0000","52,9000","105,8000"
"1085","PORTA DETERGENTE","UTENSILIOS","false","UN","0","2,0000","7,9900","15,9800"
"1086","PORTA TALHER","UTENSILIOS","false","UN","0","15,0000","0,1600","2,4000"
"874","BORRIFADOR DE AGUA","UTENSILIOS","false","UN","0","2,0000","4,9900","9,9800"
"844","RALADOR INOX","UTENSILIOS","false","UN","0","2,0000","29,0000","58,0000"
"845","MARCADOR 14 FATIAS","UTENSILIOS","false","UN","0","1,0000","48,0000","48,0000"
"922","FILTRO CHEMEX CIRC.4 XICARA  C/100 U.INT","UTENSILIOS","true","UN","0","86,0000","1,0800","92,8800"
"923","FILTRO AEROPRESS AP-81R C/100-USO INTERN","UTENSILIOS","true","UN","0","324,0000","0,0100","3,2400"
"933","CANECA ALCA NADIR FIGUEIREDO 270ML","UTENSILIOS","false","UN","0","32,0000","14,0000","448,0000"
"532","COPO BRISTOL LONG DRINK 340ML","UTENSILIOS","false","UN","0","23,0000","3,9800","91,5400"
"533","DISPENSER DETERGENTE","UTENSILIOS","false","UN","0","2,0000","19,9900","39,9800"
"544","COPO AMERICANO APERITIVO 45ML=MINI SHOT","UTENSILIOS","false","UN","0","25,0000","2,3500","58,7500"
"755","PRENSA FRANCESA DE VIDRO 300ML","UTENSILIOS","true","UN","0","1,0000","258,9200","258,9200"
"663","CHALEIRA ACO INOX","UTENSILIOS","false","UN","0","4,0000","120,0000","480,0000"
"667","FILTRO V.02-CX C/100","UTENSILIOS","true","CX","0","200,0000","0,4060","81,2000"
"668","FILTRO V.02-CX C/40","UTENSILIOS","true","CX","0","0,0000","0,0000","0,0000"
"672","PORTA FILTRO BRANCO V.02","UTENSILIOS","true","UN","0","3,0000","55,0200","165,0600"
"674","PORTA FILTRO MAGENTA V.02","UTENSILIOS","true","UN","0","0,0000","0,0000","0,0000"
"676","PORTA FILTRO PRETO V.02","UTENSILIOS","true","UN","0","0,0000","44,3300","0,0000"
"796","PRENSA FRANCESA USO INTERNO","UTENSILIOS","false","UN","0","3,0000","116,5000","349,5000"
"785","PORTA FILTRO ACRILICO V.02","UTENSILIOS","true","UN","0","2,0000","55,9200","111,8400"
"771","PINCEL SILICONE","UTENSILIOS","false","UN","0","0,0000","15,0000","0,0000"
"693","PICHER 12 OZ  360ML","UTENSILIOS","false","UN","0","4,0000","35,0000","140,0000"
"765","PRATO REFEICAO FUNDO","UTENSILIOS","false","UN","0","42,0000","54,0000","2.268,0000"
"411","MOP  COMPLE TO","UTENSILIOS","false","UN","0","1,0000","59,9900","59,9900"
"413","VASSOURA","UTENSILIOS","false","UN","0","2,0000","17,9800","35,9600"
"417","RODO PARA PIA","UTENSILIOS","false","UN","0","2,0000","5,9100","11,8200"
"418","SECADOR DE SALADAS","UTENSILIOS","false","UN","0","1,0000","0,0000","0,0000"
